,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383
0,0.02744349,0.089104764,-0.0009756116,0.08630264,-0.0069613266,-0.05079845,0.08996495,-0.023290616,0.07772564,-0.021441633,0.01476371,-0.033871043,-0.056598455,0.03175365,-0.0137638245,-0.02411498,0.029057603,0.01905638,0.018562518,-0.01754973,0.0034834025,0.04219787,-0.04085688,-0.021298625,-0.08446706,-0.05221012,-0.012571763,-0.09582654,-0.053342503,-0.034062658,-0.010040806,-0.117464796,-0.012685248,0.032206975,-0.057075337,0.027090909,-0.009969903,-0.009252754,0.15177487,0.10053332,0.061361965,-0.03972986,-0.00063071307,-0.08949884,0.02384286,0.00077956944,-0.041763403,0.035241712,0.05025019,0.12816195,-0.05769374,-0.11082696,-0.09852283,0.027948296,-0.05595613,-0.053321365,0.006649986,-0.02828051,0.008545553,-0.05462544,0.07980285,-0.03176479,0.05968565,0.08320735,-0.005246886,-0.054707993,-0.035489105,0.0120141115,-0.045296434,0.0773411,0.0030286654,-0.022629099,0.018272236,-0.03751911,-0.07029432,-0.0028557652,0.02773167,-0.0075644557,0.041098624,-0.004895662,0.04511885,-0.0012474923,-0.013157755,-0.038439043,-0.024241306,0.071025044,0.016283566,-0.040905528,-0.04914772,-0.054293074,0.019858822,-0.06782354,0.014244841,0.03950403,-0.026540466,0.024194265,-0.038988642,-0.057987157,-0.04548586,0.095936626,-0.011963569,0.05801467,0.052041627,-0.019461919,0.01205089,0.012310233,-0.074244,-0.014407913,0.07356743,-0.008545876,-0.04591103,0.008911263,0.12883735,0.058209896,0.008576903,0.012824174,-0.035248734,-0.074334204,-0.0164942,-0.032093786,-0.0049384953,-0.06315043,-0.015002415,0.06624597,-0.0481328,-0.048405565,0.00463955,-4.9980007e-33,0.017473651,-0.13358709,0.09984653,-0.006947757,0.030025687,0.00339139,-0.029900374,-0.047910485,-0.031553447,0.06894826,-0.029146798,-0.09292764,-0.04414765,0.029146705,0.011822501,-0.011987406,-0.04423758,0.026893342,0.0071599865,0.022087941,-0.01776138,0.07209644,-0.045224402,-0.019863341,0.023346467,0.1073333,-0.10150162,-0.09215095,-0.075832166,0.016567886,-0.045561016,-0.014560719,-0.047040112,0.020090166,-0.10407594,-0.021047164,-0.050495084,-0.021081325,-0.053921405,0.015163437,0.029916562,0.016932007,-0.007000802,0.028708149,0.013001548,0.078899235,0.013863881,0.10601691,0.06072729,0.025962556,0.006108553,-0.005905894,0.062425125,-0.03183613,0.014066336,0.018502492,0.013691408,-0.00027624905,-0.030530145,0.0140869515,0.104279645,-0.011611584,-0.05130782,0.0004198876,-0.039740257,0.044154886,-0.06538913,0.0010886033,0.030804724,0.008605742,-0.09738639,0.05092991,0.032776292,-0.027813984,-0.05523275,-0.07538553,0.017015869,-0.028863095,-0.037791386,-0.0015813321,0.03782724,0.055970073,0.07821292,-0.018410314,0.07455885,0.038455028,-0.0053517236,-0.09222858,0.053073976,0.06934528,0.01639508,0.031221176,-0.02301953,0.0026898922,0.028502932,3.401152e-33,0.037364755,-0.092492715,-0.010076407,0.060365774,0.029049374,-0.058524262,0.0063200765,0.06311808,-0.062752455,0.03543865,-0.014335083,-0.017597945,0.05096515,0.017784366,0.21126296,0.014676839,0.069930345,0.0611585,-0.03763776,0.01309759,-0.02902287,-0.07454063,0.03290939,-0.047331236,-0.0538316,0.11931839,0.0123129,-0.025941558,-0.033632047,-0.017266119,-0.04413275,0.018038476,-0.07567824,-0.0019660091,-0.06227967,-0.033143714,-0.076789446,0.0059225447,0.033312045,-0.04369247,0.045565173,-0.025800334,-0.0011354489,0.09090225,0.025539296,-0.011251318,-0.019208094,0.07341918,-0.052009284,-0.012056234,-0.020573704,-0.082038976,0.0028642877,0.0008800698,0.020394463,0.082283854,-0.0119493855,-0.07210278,0.026551673,0.0010903646,-0.08463592,0.03248974,-0.049627855,0.014796877,-0.045314282,0.030289238,-0.08111484,0.043450445,-0.057556067,0.09378657,0.03940293,-0.01276605,-0.072981566,-0.014229534,0.0115824435,0.052786753,0.0021458885,-0.0026709626,0.022240795,-0.019017693,-0.12857974,-0.010891568,0.039151724,-0.009732482,0.05045576,-0.0021358454,-0.042212397,0.02633193,-0.074617796,0.012675186,-0.030482814,-0.03800425,0.06884408,-0.028552148,0.053806536,-1.6095452e-08,-0.055734277,0.05330762,0.062107116,-0.005309653,0.017820217,0.05890457,0.06444603,-0.04273114,0.033033855,-0.013462227,-0.044932332,0.05682861,0.027002865,0.12688686,0.011173643,-0.0021032204,-0.044962436,-0.015390639,-0.03821387,0.018266935,-0.11575667,-0.039892677,0.048514213,-0.019783834,0.039884817,0.01181668,0.04213277,0.13601048,-0.003002854,0.06032067,-0.030615125,0.012637642,-0.049209427,-0.0016290583,0.015386838,0.029049074,0.033139925,0.00495512,0.034019426,-0.06722088,0.03212624,-0.00094759953,0.071791835,0.02341181,0.015304856,0.04065109,0.008070133,0.016811065,-0.012881799,0.012037136,-0.07507841,-0.07673801,-0.008884829,0.044888828,0.061174788,-0.087912135,-0.05033797,0.017836858,-0.051264748,0.08911459,0.045787904,0.051287625,0.090269156,0.041879613
1,-0.06128003,0.06593744,-0.022746399,0.09287215,-0.07271159,-0.07617477,0.05023824,-0.016901825,0.06015387,0.026673494,0.03256904,0.037524097,0.03442823,0.008876281,-0.08318082,-0.041975744,0.0127185695,-0.025135811,-0.03495197,0.061662227,-0.049610298,0.117050566,0.026896125,0.0016170659,-0.04860454,0.010034138,-0.04074248,0.05172812,0.039635886,-0.009390593,-0.027415667,0.08764583,0.007897757,0.023465982,-0.09041477,-0.017604046,0.041356552,0.043237153,0.01564641,-0.016747408,0.009436167,0.019632235,0.047061328,-0.018883407,-0.006937091,0.11611927,-0.059724346,-0.0031456966,0.033148,0.006333724,-0.024487052,-0.114667304,-0.0847751,0.03870457,-0.0008372901,0.14024276,-0.023443116,0.055538647,-0.03606464,0.032707527,0.007121859,-0.023525385,-0.058870986,-0.00419139,0.12188302,-0.005214723,-0.034957055,-0.071158044,-0.051737152,-0.017684437,0.0064032185,0.013067081,0.0053644734,-0.035360996,-0.093505,0.0009184161,0.08920906,-0.044162948,-0.034150615,0.048743304,-0.0030155096,-0.006614672,-0.008671124,0.078795046,0.020773135,0.011381591,-0.035047404,-0.042116668,-0.053140536,0.0026601355,-0.030761575,0.01639499,0.027198872,0.007629163,0.04997511,0.041621592,0.035301067,0.01860185,0.009894958,0.077835254,0.065933384,0.05457801,0.13764027,0.0036898244,0.0409244,0.029663904,0.09775033,0.026120618,-0.060309768,-0.00081465417,-0.09334263,-0.0073491237,0.036359444,-0.042582978,-0.035981964,-0.09943985,-0.043257486,0.03471209,-0.06203139,-0.04794239,-0.054908555,0.02816141,-0.036881976,-0.0017850812,0.04358243,-0.006969234,-0.015125862,-5.9229105e-33,-0.04255514,0.038095143,0.015881535,-0.051230796,-0.017881716,0.067054436,0.013135734,-0.007651178,-0.011826392,0.055652212,-0.0074126394,-0.004795209,-0.05774302,0.033016134,-0.037855104,-0.06559691,-0.058014195,0.002332594,-0.11641558,0.024806272,0.020468153,0.08081381,-0.04667237,-0.09846891,0.024973517,0.04123234,-0.0055581927,-0.10435537,-0.060500346,0.005392135,0.05272055,0.03913911,-0.020825034,-0.11398507,0.03843243,-0.0024065904,0.047629666,-0.025743127,-0.0018055515,-0.040947106,-0.048511185,-0.05244348,-0.15558568,0.032007273,0.0034736258,0.104903586,0.070850335,-0.053556375,0.0031799602,-0.095122844,0.045689855,-0.04655269,-0.036462273,-0.005986527,-0.031808455,0.027071448,0.056969196,0.11556677,-0.026852608,0.008477165,0.051176284,0.015261352,-0.039522413,0.053137768,-0.03895261,-0.01749064,-0.08840845,-0.0046510263,0.03236569,0.082359575,0.018549293,-0.06730564,-0.009289312,0.052389488,-0.017243814,-0.0053122146,-0.042250156,-0.06751688,0.10542144,-0.009656296,-0.13846855,-0.019530615,0.019268392,-0.009372083,0.049624823,-0.016550431,0.014815267,-0.07238706,0.036052093,-0.045012332,-0.029557696,-0.077681534,0.059230875,-0.05060798,-0.061550476,3.824036e-33,-0.12116849,0.040035177,-0.04803215,0.03549539,0.027003024,-0.04605438,0.035218637,0.07662642,-0.040133804,0.042086344,0.08043443,-0.030064315,0.02739744,0.01684794,0.1439226,0.04365682,0.10116129,0.039217137,0.0667118,-0.021751963,-0.036079124,0.017191598,0.00030931484,0.016298855,-0.030696178,0.06181174,0.06429025,-0.026583882,0.021452382,0.013903055,-0.035347406,-0.046441972,0.013294151,-0.012697751,-0.05398924,0.050812654,-0.09952299,-0.082871236,-0.07848425,-0.12923756,-0.005614132,-0.042732842,0.0489678,0.07077474,0.017011303,0.016976004,-0.03999789,0.07065173,0.051163424,0.021264074,0.045522235,0.035629876,0.015058045,0.012449661,0.0139098475,-0.021889523,-0.015222293,-0.020154981,-0.0127921235,0.03308361,0.044380948,-0.02151902,0.043476835,-0.023071667,-0.006823906,0.0094291,0.032912914,-0.0029939425,0.00071210874,-0.015316748,0.08265447,0.10461899,-0.12496573,-0.04468122,-0.0062388796,-0.017336573,-0.006325213,0.007896601,-0.03882163,-0.015686385,-0.069844365,-0.0021484573,0.028125511,0.06680534,-0.07882839,-0.06271789,-0.05620637,0.030380186,-0.012557022,0.030906733,-0.02545011,-0.0061632614,-0.050622858,0.04059888,-0.011623052,-1.6738582e-08,-0.031880844,-0.011546167,0.062020626,-0.0008050865,0.01962267,-0.0033833545,0.033526678,-0.035847906,-0.034734316,-0.07522353,0.0065304334,0.029522682,0.018549148,0.08398014,0.018494887,0.10246341,-0.07557166,-0.06632678,0.002512568,0.09778477,-0.025633799,0.017553044,-0.0098405285,0.04481493,-0.009929746,0.059456553,-0.017423218,0.06590858,0.010575162,-0.0022321106,0.012548335,0.04530931,0.043482665,0.009499707,-0.05834464,0.011139321,0.0115838,-0.0459895,-0.023581486,-0.11230358,0.022502229,-0.02864286,0.07086333,0.058639728,-0.09776549,-0.014278798,0.03524873,-0.04436045,-0.0031974337,-0.036212742,0.04508076,0.0007574837,0.041235145,0.026356572,0.09607418,-0.020130267,-0.011242191,0.011733111,-0.07277621,0.059195727,0.05084418,-0.004066248,0.07334775,0.00341011
2,0.028704904,0.05710755,-0.051189367,0.08412441,0.016625116,0.029955348,0.05166113,-0.051388543,0.0111325765,0.033455648,0.07781866,0.043185476,0.013138528,0.0013637091,-0.00019407333,0.04533314,-0.047544163,0.0069764727,-0.046810996,0.04544817,-0.10134081,0.01145535,-0.009746793,0.00661121,-0.03237765,0.006128354,-0.01901796,0.02459444,-0.017153718,-0.10675439,-0.032150064,-0.0102734575,-0.090528026,0.020396704,-0.029761123,0.0023462526,0.018787963,-0.030446513,0.090864144,-0.00051037525,-0.027174337,-0.0476324,-0.021467708,0.008848977,-0.04421106,-0.0219611,0.008075488,0.02873329,0.11469664,0.014910759,0.009763839,0.004553092,-0.06845768,0.1303107,-0.038274024,0.09058321,-0.007473852,0.0028462887,0.07995001,0.041893616,0.07607489,-0.0005855705,-0.07969966,0.035913408,0.009596509,-0.13581403,0.020141989,-0.004917625,-0.07230374,0.056927472,0.059299327,-0.0059129014,0.023007637,-0.12224784,0.028359147,-0.028711433,0.0808907,0.02646066,0.021798829,-0.084771805,0.066227436,0.07969418,0.0031587624,0.04643974,-0.01304977,0.0020962097,-0.04594503,0.06841344,0.043162037,0.057422556,-0.07169214,0.040921763,0.027104093,0.02104,-0.018337902,-0.040267818,-0.01812795,0.04088619,-0.020624943,0.1251281,0.0238916,0.019474871,-0.03297764,-0.016796317,0.03729819,-0.027218241,-0.034838513,-0.012980115,-0.031219501,-0.004087331,0.0018606423,0.023711715,0.02580896,0.030556481,0.017422553,-0.088666186,-0.054863587,0.045448713,0.054416485,-0.021750133,-0.06500046,0.015508277,-0.031578176,0.0149342315,-0.031461086,-0.02627925,-0.09087105,-7.062251e-33,-0.003406375,-0.065065086,0.05380199,0.003140014,0.024406748,0.046587717,-0.022649836,0.047310643,-0.07381023,0.048211724,0.051078673,-0.033324037,-0.04998763,-0.05422876,0.020962162,-0.045717333,-0.05386856,0.028598372,-0.12818713,-0.006484658,-0.07344911,0.077038765,-0.025020285,0.0063234055,-0.009767706,-0.022264479,-0.013558211,-0.090298705,-0.041557904,0.03720829,-0.054762494,0.033860438,-0.0050006597,-0.018070562,0.0066316715,-0.009613932,0.0006666537,0.021928335,0.006303008,0.0022769747,-0.03490496,0.04445671,-0.019033939,-0.008018517,0.03406306,0.07218063,0.11773618,0.024166184,0.07676786,0.014379097,-0.039856236,-0.029879037,0.03389267,0.041760124,0.015092024,-0.02062949,0.043323234,0.07572818,0.024668159,-0.020546427,0.0031746998,0.05397021,-0.025192905,0.04644649,-0.060476813,-0.0028747388,-0.06496186,-0.0892509,0.023282923,0.002275443,-0.0742253,-0.02117402,0.047271743,0.08717886,-0.100735664,-0.023247644,-0.09087374,-0.040147092,-0.0059853555,-0.07068294,-0.037841886,0.09219431,-0.05244845,0.01933956,0.07507193,-0.043626115,-0.056834135,-0.0884438,0.09183406,0.028877463,-0.13677782,-0.02098765,0.022284154,-0.01059011,-0.111378126,5.1824185e-33,-0.08932935,-0.048162844,-0.022770382,0.020978201,-0.014197703,-0.005246956,0.13036993,-0.008924886,0.030481739,0.11738772,0.032984667,-0.014913942,-0.042353775,0.03835206,0.087078,0.01286321,0.14255065,0.005487684,0.00021674694,-0.03897429,-0.09462562,-0.09351407,0.0029452394,0.03706012,-0.033035126,0.04444199,0.09654794,0.015727423,-0.07172241,-0.06320505,-0.04169865,-0.026491813,-0.011502545,0.0032951778,-0.04606456,0.020373628,-0.08043494,0.057280913,0.04391242,0.040000886,0.038313773,-0.0029530304,0.026608706,0.11850889,-0.019949116,0.065731496,-0.023296246,0.005114704,-0.017984044,-0.020914843,-0.020745952,0.090129,0.01772892,0.01718673,-0.018579325,-0.017146116,-0.0828727,-0.021775851,0.075602435,0.0049296245,-0.013035204,0.054265153,0.026317902,-0.095664494,0.02152253,0.042667646,-0.006562153,-0.024277989,-0.024154758,-0.03142804,0.029767733,0.03835601,-0.08606601,-0.01831143,-0.0008339906,0.020378055,-0.025741758,-0.024380466,-0.03390842,-0.049068917,-0.07668838,-0.09599144,-0.029078063,-0.021710923,-0.015338417,-0.050531477,0.079970635,-0.08218788,0.051837377,-0.043473437,0.025082598,0.031845134,0.107383735,-0.06409485,0.04525224,-1.4501993e-08,0.006512254,-0.04248408,0.0616716,0.019237526,-0.07165625,0.08242755,0.057628732,-0.0071229246,-0.014022062,0.053382132,0.0008644763,0.072835825,0.0360119,0.044633575,0.062272992,0.016633729,-0.078052364,-0.044479195,-0.05131912,0.08388496,0.010429453,-0.022889046,0.040313333,0.011051186,0.012358827,0.00039929224,0.004034021,0.049199305,0.010347506,0.024538008,0.020221865,-0.06293697,-0.03642111,-0.020811543,-0.006167252,-0.055102073,-0.061990242,0.03867286,-0.011630257,0.014479503,0.044530928,-0.025110042,0.01683571,0.05286618,-0.022760909,0.015604522,0.07129285,0.043915715,-0.009285095,-0.07200955,0.015745632,-0.010503597,0.033244528,0.03898448,0.06943107,0.030757703,-0.020569552,-0.04028614,-0.11354511,0.06513657,0.059302647,0.15147422,8.8068155e-05,0.062059328
3,-0.08579711,0.08325939,-0.014395492,0.06606534,-0.022589814,-0.053539082,0.06984399,0.037283555,-0.004409313,-0.03208092,-0.03141995,0.066786885,-0.00085634086,0.050325282,-0.025663044,0.021940531,-0.0058443723,0.004104548,-0.06416347,0.012223109,-0.047364708,0.013650055,0.05881811,-0.006758828,0.050197225,-0.01950062,-0.023086643,0.09963355,0.068224505,-0.027496751,-0.036995247,0.04069373,-0.060717415,-0.045409482,0.044522904,-0.041503012,0.014141782,-0.006935807,0.03941664,0.029252283,0.05334307,-0.026648542,-0.09094273,-0.10603936,0.005868035,0.08665527,0.020582564,0.021720115,-0.020593375,0.0030452346,-0.0428167,-0.07279773,0.021129616,0.0719482,0.012984392,0.110339545,-0.043335702,-0.023778526,0.028337639,0.0040117456,-0.031976115,0.03629303,-0.048298303,0.04949835,0.00952917,-0.06267726,-0.027135037,0.0242334,-0.011930177,0.09550255,0.038362287,-0.02439285,-0.0065340493,-0.008450274,0.030125735,-0.044782642,0.09136704,-0.095801674,0.026366662,-0.033845004,0.018314173,-0.07841322,-0.05864137,0.02493946,0.02747909,-0.009072007,-0.024274357,0.03246175,0.01924584,0.020303186,-0.021589955,0.060886737,-0.0055685565,0.058147892,-0.03007439,0.042875424,0.0038807692,-0.060534906,-0.06933409,0.120779365,0.039773993,-0.0053665596,0.13839103,-0.04884987,-0.047571555,0.05252588,0.09565003,0.021019112,-0.041333288,0.028517285,-0.030209687,-0.047610577,0.0053616744,0.02322348,-0.050774544,0.035372145,-0.022634797,0.050258715,-0.060849316,-0.039836373,0.05223125,-0.016127666,-0.039284695,-0.032973737,-0.029060556,0.039156064,0.007926723,-8.5168595e-35,0.02675443,-0.015292669,-0.091216564,0.02642085,0.0051632132,0.07261818,-0.04285094,-0.024342293,-0.052933272,0.061766945,-0.039940078,0.026361594,-0.07100338,-0.04706574,-0.028115593,-0.0895592,-0.010516447,0.06587078,-0.069772005,0.09083235,0.12616727,-0.05211071,-0.06587591,0.0005620084,-0.00073437503,0.07463931,-0.018933782,-0.07007045,-0.08892435,0.0058587315,0.064891,0.04000666,-0.12948877,-0.056143012,-0.026081463,0.038844433,-0.02199367,-0.03546114,-0.016966274,-0.093033664,-0.04728895,0.0034458854,-0.10436564,0.019057883,-0.0055818614,0.11049063,0.0046056183,-0.0133215105,-0.03395262,0.0056492495,-0.0011665616,-0.02904189,-0.09375946,0.044532508,-0.13879225,0.08473178,0.018529566,-0.021955421,0.050171923,-0.021631293,0.04821419,-0.010828153,-0.029546333,-0.0123953335,0.031382047,-0.018830765,0.03675978,0.0064070267,-0.07440592,0.053386573,-0.08142966,-0.040602487,-0.010656185,0.0796884,0.054641962,-0.05576156,-0.069879696,-0.00071317167,0.027059808,-0.037192494,0.03574366,0.014321553,0.0040860493,-0.04234839,0.05809618,-0.0338671,-0.039143562,0.009899946,-0.010114757,0.06549742,-0.05480812,-0.018769726,0.11755252,-0.04038372,-0.08840977,-7.358203e-34,-0.05855153,0.042223644,-0.03878681,0.039519705,0.045968022,0.010232526,0.027358571,0.038115095,-0.055782434,-0.07646762,-0.0027028522,-0.002438868,0.057408314,0.024298305,0.027186943,-0.049985744,0.09447809,0.04442939,0.045531992,0.0017311559,-0.022962693,-0.09052496,-0.076846495,-0.019730752,-0.03242375,0.077205606,0.060488507,0.062353544,-0.008138137,0.041875485,-0.061531812,-0.007932642,-0.04339016,-0.04662877,-0.024605762,0.070536114,0.034097552,-0.010228504,-0.06879889,-0.05027064,0.053320967,0.022796474,-0.044651795,0.11781657,0.067531005,-0.010428631,-0.108174026,0.010270214,-0.0053506456,0.07057921,-0.040778648,0.07511733,0.014886237,0.022725493,0.060047414,0.048015386,0.0025552767,-0.035561383,-0.07024079,-0.045106377,-0.030290479,0.0904097,-0.038832486,0.028885853,0.045151245,-0.00042645965,0.06537708,-0.08180635,0.050021723,0.01880979,-0.0081947185,0.069413334,-0.049586836,-0.07560616,-0.045640573,0.04189982,0.001627946,-0.04576865,0.035697322,-0.12068504,0.0013807374,-0.022506263,0.005903722,0.109907284,-0.032502167,-0.05105107,-0.027676009,0.06715286,0.04325361,-0.05800413,0.059109785,-0.001977912,0.014075404,0.035323035,-0.03500325,-1.6346062e-08,-0.035063628,0.017480826,-0.051664777,0.018659553,0.0734532,-0.011674603,-6.3316074e-05,-0.028965576,0.033194527,-0.04551731,0.06163552,0.040965784,0.041312177,0.063475385,0.030626416,-0.009329831,-0.04526363,-0.010237373,-0.028717771,0.019427659,-0.056695506,0.031310238,-0.02138788,0.0526199,0.057689562,-0.0060071214,-0.0060656616,0.07860175,0.02835428,-0.019692184,0.030511877,0.086025365,0.06530583,0.007087279,0.011596327,0.020117877,-0.032441415,-0.029931616,-0.0037971819,-0.12823717,-0.003695847,-0.00439352,0.093510374,-0.027265664,-0.12894069,-0.0791921,0.013542895,-0.047582176,0.02916085,-0.045114074,-0.040871747,-0.042501777,0.0643686,0.05397584,0.08326341,0.02007677,-0.038645446,0.03357476,-0.07354784,0.023059564,-0.011450612,-0.08788784,-0.0292171,0.03420042
4,0.017319687,0.09778554,-0.0411151,-0.0074418876,-0.07290916,0.027692221,0.08779593,0.034788888,0.023788672,0.032489866,-0.0075681084,0.0038390579,0.0040096208,-0.0016241373,0.028533295,-0.088804886,-0.014510047,0.04439297,0.01509048,-0.0023454858,-0.060498446,0.008179906,-0.0011563225,-0.01312315,-0.0563437,0.0031640423,-0.05085804,0.016960507,0.080989674,-0.047319863,0.07563247,-0.0983435,-0.04845252,0.045261648,-0.11057236,0.043522675,-0.0027193688,0.046569396,0.068578996,-0.0025343476,-0.0017589915,-0.10113994,-0.01868916,0.05371535,0.008765111,0.05978979,0.03770761,0.03275743,0.060186096,0.008150721,-0.07118913,-0.076258294,-0.0031918779,0.040087976,0.017441731,0.09839022,0.039549224,-0.0946467,0.008455209,0.04086048,0.04786891,0.010701719,-0.07747083,0.002326737,0.030490415,-0.10772242,-0.024685092,0.061805706,-0.07216948,0.118386395,0.082098626,-0.019008836,0.035304278,-0.042758565,-0.015708378,-0.07939289,0.050394636,0.026344787,-0.01143034,0.1091158,-0.059706666,0.033263106,-0.021709198,0.019638838,-0.07635542,0.030403199,0.04432365,0.012507946,-0.085552,-0.0013804125,-0.086934865,0.0044596875,-0.050390035,0.023718975,0.02734648,-0.011275387,-0.060255744,-0.039881412,-0.019304197,0.08668823,0.011342924,-0.0020397345,0.043542013,-0.027855232,0.024668608,-0.032239683,-0.001048511,0.03824128,0.045073718,-0.018148229,0.00957726,-0.10227169,0.044052344,0.049685072,-0.04441833,-0.06089348,0.03344394,-0.03975306,0.024864584,-0.09934066,0.10265395,0.008234035,-0.028307008,-0.0011669307,-0.040158954,-0.017109118,0.014642669,-2.6447864e-33,0.029062605,0.009252316,0.03932697,0.052478805,0.05688022,-0.015402786,0.0085954135,0.019679248,0.0004493528,0.10886465,0.012660795,-0.073177576,-0.063814156,0.06607462,0.043014936,-0.10895296,0.025701854,-0.009910367,-0.11231158,-0.0015082809,-0.09492288,-0.014442774,-0.021126559,-0.005353436,-0.037913516,0.05064407,-0.019886047,-0.1350618,-0.0894875,0.033282615,-0.006910525,0.0115254065,-0.056095954,-0.006777627,-0.018478014,0.022841273,-0.08579755,-0.036584083,0.010453978,-0.029394567,-0.024475818,-0.0053283963,-0.017256526,0.024778133,-0.024339529,0.025488967,0.0075706835,0.04885212,-0.0094391145,0.025735063,0.060859393,-0.028503465,0.032893524,0.0103519,-0.041944403,0.015391128,0.038372263,0.040246125,0.008610347,-0.0004749568,0.004703743,0.041496046,-0.05878081,0.06400038,-0.056549937,-0.012533919,0.045123126,-0.048133437,-0.013824432,-0.07844157,-0.13460143,-0.023351947,0.0069462196,0.005153588,-0.12102676,0.02413751,-0.013860793,-0.05855943,0.052643314,-0.008409228,-0.017243847,0.00656827,0.030979462,-0.06605964,0.043756653,0.019011082,0.037399195,-0.01441267,0.04561513,-0.008117879,-0.14934893,-0.071271144,0.10599435,-0.038621373,-0.0437022,1.6083948e-33,-0.01407895,-0.073393114,0.054311994,0.02899352,0.03794142,0.010562013,0.047312085,-0.03614297,-0.030006811,0.13485649,0.0075329193,-0.005350922,0.041524496,0.041903332,0.07470697,0.021314822,0.107460395,0.003084965,0.038506698,0.02154028,-0.01575575,-0.091901645,0.012222617,-0.0115321735,-0.038193412,0.04069648,0.024842568,-0.024013674,-0.08840056,-0.024326174,-0.060550608,-0.120449066,-0.03878711,0.040613014,-0.05135746,-0.012990406,0.009987907,-0.04046314,0.036368325,-0.039839678,0.030339113,-0.014030839,0.016244408,0.18705113,-0.022230828,-0.03858211,-0.032377567,0.11602484,-0.08298942,-0.003956612,-0.051607084,0.052526884,0.028987138,-0.009699564,-0.007296498,0.020716675,-0.036735803,-0.017534427,0.029981349,-0.010257089,0.01163486,0.042874817,0.022866266,-0.047160562,0.12214473,0.010424227,-0.014914826,0.02035041,-0.110162765,0.022378957,-0.05296228,0.063559934,-0.0115346955,0.00836768,0.009626707,0.0149540035,0.038631793,-0.018639257,0.03388834,-0.01406978,-0.102928646,-0.024814866,-0.036821116,-0.08837988,0.034524515,-0.08857095,0.017577095,-0.054669004,-0.0153972,-0.028017035,-0.029041018,0.06579008,0.10254443,-0.004472242,0.03048229,-1.9035513e-08,0.00010278559,-0.03171791,0.018589646,-0.085768096,-0.00034103057,0.101552926,0.11084994,-0.040590316,-0.02003753,0.010040719,0.016392024,-0.021218147,0.026088143,0.057672516,-0.0313282,0.054816112,-0.06704669,0.04056408,-0.06259991,0.034264956,-0.035589788,-0.023442347,0.09274937,0.009843169,-0.059004046,0.03631833,-0.020989157,0.08289658,0.005063984,0.059673626,0.036728296,4.215196e-05,0.008562848,-0.03476841,0.05961058,0.049533613,-0.0627921,0.044854578,0.034060825,-0.07983925,0.047811553,0.047227785,0.0027425312,0.070190534,-0.013067853,0.041320365,-0.045106452,0.01564327,-0.06719289,0.02147959,0.005071418,-0.0018226019,0.05161041,0.047447972,0.048025798,0.035095587,0.032519825,-0.054868475,-0.007625232,0.013931309,0.06383201,0.03188882,0.017520536,0.06089537
